datetime,pps,avg_price,shares,unrealized_pnl,realized_pnl,total_pnl,market_value,pnl_rate,daily_pnl,dividend_pnl
2021-02-12 00:00:00,1.5855,1.0000,1.0000,0.5855,0.0000,0.5855,1.5855,0.5855,0.1180,0.0000
2021-02-13 00:00:00,1.5609,1.0000,1.0000,0.5609,0.0000,0.5609,1.5609,0.5609,-0.0246,0.0000
2021-02-14 00:00:00,1.5510,1.0000,1.0000,0.5510,0.0000,0.5510,1.5510,0.5510,-0.0099,0.0000
2021-02-15 00:00:00,1.6076,1.0000,1.0000,0.6076,0.0000,0.6076,1.6076,0.6076,0.0566,0.0000
2021-02-16 00:00:00,1.5783,1.0000,1.0000,0.5783,0.0000,0.5783,1.5783,0.5783,-0.0293,0.0000
2021-02-17 00:00:00,1.6278,1.0000,1.0000,0.6278,0.0000,0.6278,1.6278,0.6278,0.0495,0.0000
2021-02-18 00:00:00,1.7595,1.0000,1.0000,0.7595,0.0000,0.7595,1.7595,0.7595,0.1317,0.0000
2021-02-19 00:00:00,1.7467,1.0000,1.0000,0.7467,0.0000,0.7467,1.7467,0.7467,-0.0128,0.0000
2021-02-20 00:00:00,1.8432,1.0000,1.0000,0.8432,0.0000,0.8432,1.8432,0.8432,0.0965,0.0000
2021-02-21 00:00:00,1.8431,1.0000,1.0000,0.8431,0.0000,0.8431,1.8431,0.8431,-0.0001,0.0000
2021-02-22 00:00:00,1.8821,1.0000,1.0000,0.8821,0.0000,0.8821,1.8821,0.8821,0.0390,0.0000
