datetime,unrealized_pnl,realized_pnl,total_pnl,market_value,daily_pnl
2021-03-01 00:00:00,15827.3786,0.0000,15827.3786,48425.5386,-765.0367
2021-03-02 00:00:00,19147.8951,0.0000,19147.8951,51746.0551,3320.5165
2021-03-03 00:00:00,18331.4274,0.0000,18331.4274,50929.5874,-816.4678
2021-03-04 00:00:00,19626.8467,0.0000,19626.8467,52225.0067,1295.4193
2021-03-05 00:00:00,18337.8562,0.0000,18337.8562,50936.0162,-1288.9904
2021-03-06 00:00:00,18556.4382,0.0000,18556.4382,51154.5982,218.5819
2021-03-07 00:00:00,18646.4425,0.0000,18646.4425,51244.6025,90.0043
2021-03-08 00:00:00,19662.2055,0.0000,19662.2055,52260.3655,1015.7630
2021-03-09 00:00:00,20256.8769,0.0000,20256.8769,52855.0369,594.6714
2021-03-10 00:00:00,21246.9244,0.0000,21246.9244,53845.0844,990.0475
2021-03-11 00:00:00,21639.0861,0.0000,21639.0861,54237.2461,392.1617
2021-03-12 00:00:00,24358.5024,0.0000,24358.5024,56956.6624,2719.4162
2021-03-13 00:00:00,23448.8158,0.0000,23448.8158,56046.9758,-909.6865
2021-03-14 00:00:00,29401.9587,0.0000,29401.9587,62000.1187,5953.1429
2021-03-15 00:00:00,25792.1426,0.0000,25792.1426,58390.3026,-3609.8161
2021-03-16 00:00:00,20272.9491,0.0000,20272.9491,52871.1091,-5519.1935
2021-03-17 00:00:00,22436.2672,0.0000,22436.2672,55034.4272,2163.3181
2021-03-18 00:00:00,25840.3592,0.0000,25840.3592,58438.5192,3404.0920
2021-03-19 00:00:00,23419.8859,0.0000,23419.8859,56018.0459,-2420.4733
2021-03-20 00:00:00,24165.6360,0.0000,24165.6360,56763.7960,745.7501
2021-03-21 00:00:00,24262.0692,0.0000,24262.0692,56860.2292,96.4332
2021-03-22 00:00:00,22867.0022,0.0000,22867.0022,55465.1622,-1395.0670
2021-03-23 00:00:00,20060.7961,0.0000,20060.7961,52658.9561,-2806.2061
2021-03-24 00:00:00,20272.9491,0.0000,20272.9491,52871.1091,212.1530
2021-03-25 00:00:00,18736.4468,0.0000,18736.4468,51334.6068,-1536.5023
2021-03-26 00:00:00,18071.0577,0.0000,18071.0577,50669.2177,-665.3891
2021-03-27 00:00:00,20475.4588,0.0000,20475.4588,53073.6188,2404.4011
2021-03-28 00:00:00,20964.0537,0.0000,20964.0537,53562.2137,488.5949
2021-03-29 00:00:00,20825.8328,0.0000,20825.8328,53423.9928,-138.2209
2021-03-30 00:00:00,21854.4536,0.0000,21854.4536,54452.6136,1028.6208
2021-03-31 00:00:00,22413.7662,0.0000,22413.7662,55011.9262,559.3126
2021-04-01 00:00:00,22433.0528,0.0000,22433.0528,55031.2128,19.2866
2021-04-02 00:00:00,22458.7683,0.0000,22458.7683,55056.9283,25.7155
2021-04-03 00:00:00,22596.9892,0.0000,22596.9892,55195.1492,138.2209
2021-04-04 00:00:00,22079.4644,0.0000,22079.4644,54677.6244,-517.5248
2021-04-05 00:00:00,22343.0485,0.0000,22343.0485,54941.2085,263.5841
2021-04-06 00:00:00,22558.4160,0.0000,22558.4160,55156.5760,215.3675
2021-04-07 00:00:00,22484.4838,0.0000,22484.4838,55082.6438,-73.9321
2021-04-08 00:00:00,22253.0442,0.0000,22253.0442,54851.2042,-231.4397
2021-04-09 00:00:00,22452.3394,0.0000,22452.3394,55050.4994,199.2953
2021-04-10 00:00:00,22481.2694,0.0000,22481.2694,55079.4294,28.9300
2021-04-11 00:00:00,22596.9892,0.0000,22596.9892,55195.1492,115.7198
2021-04-12 00:00:00,22693.4224,0.0000,22693.4224,55291.5824,96.4332
2021-04-13 00:00:00,22879.8600,0.0000,22879.8600,55478.0200,186.4375
2021-04-14 00:00:00,22490.9127,0.0000,22490.9127,55089.0727,-388.9472
2021-04-15 00:00:00,21664.8016,0.0000,21664.8016,54262.9616,-826.1111
2021-04-16 00:00:00,21960.5301,0.0000,21960.5301,54558.6901,295.7285
2021-04-17 00:00:00,19446.8380,0.0000,19446.8380,52044.9980,-2513.6921
2021-04-18 00:00:00,17524.6029,0.0000,17524.6029,50122.7629,-1922.2351
2021-04-19 00:00:00,11982.9084,0.0000,11982.9084,44581.0684,-5541.6946
2021-04-20 00:00:00,11593.9611,0.0000,11593.9611,44192.1211,-388.9472
2021-04-21 00:00:00,12114.7004,0.0000,12114.7004,44712.8604,520.7393
2021-04-22 00:00:00,10481.7649,0.0000,10481.7649,43079.9249,-1632.9355
2021-04-23 00:00:00,9308.4943,0.0000,9308.4943,41906.6543,-1173.2706
2021-04-24 00:00:00,9003.1225,0.0000,9003.1225,41601.2825,-305.3718
2021-04-25 00:00:00,8485.5976,0.0000,8485.5976,41083.7576,-517.5248
2021-04-26 00:00:00,8038.7905,0.0000,8038.7905,40636.9505,-446.8072
2021-04-27 00:00:00,10253.5396,0.0000,10253.5396,42851.6996,2214.7492
2021-04-28 00:00:00,10629.6291,0.0000,10629.6291,43227.7891,376.0895
2021-04-29 00:00:00,10568.5548,0.0000,10568.5548,43166.7148,-61.0744
2021-04-30 00:00:00,10182.8220,0.0000,10182.8220,42780.9820,-385.7328
2021-05-01 00:00:00,11307.8760,0.0000,11307.8760,43906.0360,1125.0540
2021-05-02 00:00:00,11307.8760,0.0000,11307.8760,43906.0360,0.0000
2021-05-03 00:00:00,11073.2218,0.0000,11073.2218,43671.3818,-234.6541
2021-05-04 00:00:00,11391.4514,0.0000,11391.4514,43989.6114,318.2296
2021-05-05 00:00:00,8864.9016,0.0000,8864.9016,41463.0616,-2526.5498
2021-05-06 00:00:00,11722.5387,0.0000,11722.5387,44320.6987,2857.6372
2021-05-07 00:00:00,10973.5742,0.0000,10973.5742,43571.7342,-748.9645
2021-05-08 00:00:00,11648.6066,0.0000,11648.6066,44246.7666,675.0324
2021-05-09 00:00:00,12821.8772,0.0000,12821.8772,45420.0372,1173.2706
2021-05-10 00:00:00,12275.4224,0.0000,12275.4224,44873.5824,-546.4548
2021-05-11 00:00:00,10295.3274,0.0000,10295.3274,42893.4874,-1980.0950
2021-05-12 00:00:00,11034.6486,0.0000,11034.6486,43632.8086,739.3212
2021-05-13 00:00:00,4695.7729,0.0000,4695.7729,37293.9329,-6338.8757
2021-05-14 00:00:00,3609.2922,0.0000,3609.2922,36207.4522,-1086.4807
2021-05-15 00:00:00,3609.2922,0.0000,3609.2922,36207.4522,0.0000
2021-05-16 00:00:00,3985.3816,0.0000,3985.3816,36583.5416,376.0895
2021-05-17 00:00:00,4059.3138,0.0000,4059.3138,36657.4738,73.9321
2021-05-18 00:00:00,4425.7599,0.0000,4425.7599,37023.9199,366.4462
2021-05-19 00:00:00,4563.9808,0.0000,4563.9808,37162.1408,138.2209
2021-05-20 00:00:00,5557.2428,0.0000,5557.2428,38155.4028,993.2620
2021-05-21 00:00:00,4814.7072,0.0000,4814.7072,37412.8672,-742.5356
2021-05-22 00:00:00,5447.9518,0.0000,5447.9518,38046.1118,633.2447
2021-05-23 00:00:00,5399.7352,0.0000,5399.7352,37997.8952,-48.2166
2021-05-24 00:00:00,6026.5510,0.0000,6026.5510,38624.7110,626.8158
2021-05-25 00:00:00,4965.7858,0.0000,4965.7858,37563.9458,-1060.7652
2021-05-26 00:00:00,5139.3656,0.0000,5139.3656,37737.5256,173.5798
2021-05-27 00:00:00,4856.4949,0.0000,4856.4949,37454.6549,-282.8707
2021-05-28 00:00:00,5059.0046,0.0000,5059.0046,37657.1646,202.5097
2021-05-29 00:00:00,5997.6211,0.0000,5997.6211,38595.7811,938.6165
2021-05-30 00:00:00,5541.1706,0.0000,5541.1706,38139.3306,-456.4505
2021-05-31 00:00:00,5846.5424,0.0000,5846.5424,38444.7024,305.3718
2021-06-01 00:00:00,6274.0629,0.0000,6274.0629,38872.2229,427.5205
2021-06-02 00:00:00,6129.4131,0.0000,6129.4131,38727.5731,-144.6498
2021-06-03 00:00:00,6347.9950,0.0000,6347.9950,38946.1550,218.5819
2021-06-04 00:00:00,6871.9488,0.0000,6871.9488,39470.1088,523.9537
2021-06-05 00:00:00,6061.9099,0.0000,6061.9099,38660.0699,-810.0389
2021-06-06 00:00:00,5595.8161,0.0000,5595.8161,38193.9761,-466.0938
2021-06-07 00:00:00,5698.6782,0.0000,5698.6782,38296.8382,102.8621
2021-06-08 00:00:00,4830.7794,0.0000,4830.7794,37428.9394,-867.8988
2021-06-09 00:00:00,4753.6328,0.0000,4753.6328,37351.7928,-77.1466
2021-06-10 00:00:00,6450.8571,0.0000,6450.8571,39049.0171,1697.2243
2021-06-11 00:00:00,6135.8420,0.0000,6135.8420,38734.0020,-315.0151
2021-06-12 00:00:00,6444.4282,0.0000,6444.4282,39042.5882,308.5862
2021-06-13 00:00:00,5570.1006,0.0000,5570.1006,38168.2606,-874.3277
2021-06-14 00:00:00,7305.8982,0.0000,7305.8982,39904.0582,1735.7976
2021-06-15 00:00:00,8077.3638,0.0000,8077.3638,40675.5238,771.4656
2021-06-16 00:00:00,7887.7118,0.0000,7887.7118,40485.8718,-189.6520
2021-06-17 00:00:00,6891.2354,0.0000,6891.2354,39489.3954,-996.4764
2021-06-18 00:00:00,6743.3712,0.0000,6743.3712,39341.5312,-147.8642
2021-06-19 00:00:00,5412.5930,0.0000,5412.5930,38010.7530,-1330.7782
2021-06-20 00:00:00,5239.0132,0.0000,5239.0132,37837.1732,-173.5798
2021-06-21 00:00:00,5287.2298,0.0000,5287.2298,37885.3898,48.2166
2021-06-22 00:00:00,2763.8944,0.0000,2763.8944,35362.0544,-2523.3354
2021-06-23 00:00:00,3345.7081,0.0000,3345.7081,35943.8681,581.8136
2021-06-24 00:00:00,3278.2048,0.0000,3278.2048,35876.3648,-67.5032
2021-06-25 00:00:00,3297.4915,0.0000,3297.4915,35895.6515,19.2866
2021-06-26 00:00:00,3168.9139,0.0000,3168.9139,35767.0739,-128.5776
2021-06-27 00:00:00,3136.7695,0.0000,3136.7695,35734.9295,-32.1444
2021-06-28 00:00:00,3066.0518,0.0000,3066.0518,35664.2118,-70.7177
2021-06-29 00:00:00,3078.9096,0.0000,3078.9096,35677.0696,12.8578
2021-06-30 00:00:00,3111.0540,0.0000,3111.0540,35709.2140,32.1444
2021-07-01 00:00:00,0.0000,3008.1919,3008.1919,35606.0000,-102.8621
2021-07-02 00:00:00,0.0000,3008.1919,3008.1919,35606.0000,0.0000
2021-07-03 00:00:00,0.0000,3008.1919,3008.1919,35606.0000,0.0000
2021-07-04 00:00:00,21.3636,3008.1919,3029.5555,35627.3636,21.3636
2021-07-05 00:00:00,35.6060,3008.1919,3043.7979,35641.6060,14.2424
2021-07-06 00:00:00,0.0000,3008.1919,3008.1919,35606.0000,-35.6060
2021-07-07 00:00:00,14.2424,3008.1919,3022.4343,35620.2424,14.2424
2021-07-08 00:00:00,3.5606,3008.1919,3011.7525,35609.5606,-10.6818
2021-07-09 00:00:00,-28.4848,3008.1919,2979.7071,35577.5152,-32.0454
2021-07-10 00:00:00,0.0000,3008.1919,3008.1919,35606.0000,28.4848
2021-07-11 00:00:00,-10.6818,3008.1919,2997.5101,35595.3182,-10.6818
2021-07-12 00:00:00,10.6818,3008.1919,3018.8737,35616.6818,21.3636
2021-07-13 00:00:00,-28.4848,3008.1919,2979.7071,35577.5152,-39.1666
